student_name,question_number,expert_grade,expert_score,mean_abs_error,std_abs_error,mean_grade_diff,question_text
Mahasiswa 12,7,D,1.2,1.1166666666666667,0.6735478206235002,1.0833333333333333,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin)
Mahasiswa 15,3,D,1.2,1.1,0.7042726744663604,1.1,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin)
Mahasiswa 16,3,D,1.8,1.0999999999999999,0.4898979485566356,1.0999999999999999,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin)
Mahasiswa 15,7,D,1.1,1.0999999999999999,0.6899275324264137,1.0999999999999999,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin)
Mahasiswa 8,3,D,1.2,1.0,0.6542170893518451,0.9666666666666668,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin)
Mahasiswa 1,3,D,1.1,0.9666666666666667,0.7146094504459528,0.9666666666666667,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin)
Mahasiswa 3,5,D,1.1,0.8333333333333334,0.5573747990954262,0.8333333333333334,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)"
Mahasiswa 14,2,C,2.0,0.8166666666666668,0.4355073669487885,0.8166666666666668,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)"
Mahasiswa 3,7,D,1.8,0.8166666666666668,0.552871293039046,0.8166666666666668,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin)
Mahasiswa 5,7,D,1.1,0.7666666666666666,0.6377042156569663,0.7666666666666666,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin)
