model,strategy,grade,grade_label,precision,recall,specificity,f1_score,support,tp,fp,fn,tn
chatgpt,few-shot,1,E (1),0.6375,0.6892,0.8111,0.6623,296,204.0,116.0,92.0,498.0
chatgpt,few-shot,2,D (2),0.45,0.6,0.7373,0.5143,240,144.0,176.0,96.0,494.0
chatgpt,few-shot,3,C (3),0.7744,0.5819,0.8921,0.6645,354,206.0,60.0,148.0,496.0
chatgpt,few-shot,4,B (4),0.0,0.0,0.9955,0.0,20,0.0,4.0,20.0,886.0
chatgpt,few-shot,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,910.0
chatgpt,few-shot,Overall,Overall,0.3724,0.3742,,0.3682,910,,,,
chatgpt,lenient,1,E (1),0.0,0.0,1.0,0.0,306,0.0,0.0,306.0,630.0
chatgpt,lenient,2,D (2),0.172,0.2195,0.6232,0.1929,246,54.0,260.0,192.0,430.0
chatgpt,lenient,3,C (3),0.4749,0.7802,0.451,0.5904,364,284.0,314.0,80.0,258.0
chatgpt,lenient,4,B (4),0.0,0.0,0.9738,0.0,20,0.0,24.0,20.0,892.0
chatgpt,lenient,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,936.0
chatgpt,lenient,Overall,Overall,0.1294,0.1999,,0.1567,936,,,,
chatgpt,zero-shot,1,E (1),0.6347,0.7162,0.8013,0.673,296,212.0,122.0,84.0,492.0
chatgpt,zero-shot,2,D (2),0.471,0.6083,0.7552,0.5309,240,146.0,164.0,94.0,506.0
chatgpt,zero-shot,3,C (3),0.7955,0.5932,0.9029,0.6796,354,210.0,54.0,144.0,502.0
chatgpt,zero-shot,4,B (4),0.0,0.0,0.9978,0.0,20,0.0,2.0,20.0,888.0
chatgpt,zero-shot,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,910.0
chatgpt,zero-shot,Overall,Overall,0.3802,0.3835,,0.3767,910,,,,
gemini,few-shot,1,E (1),0.5512,0.5426,0.8021,0.5469,258,140.0,114.0,118.0,462.0
gemini,few-shot,2,D (2),0.2757,0.4679,0.5649,0.3469,218,102.0,268.0,116.0,348.0
gemini,few-shot,3,C (3),0.7586,0.3905,0.9153,0.5156,338,132.0,42.0,206.0,454.0
gemini,few-shot,4,B (4),0.0,0.0,0.9558,0.0,20,0.0,36.0,20.0,778.0
gemini,few-shot,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,834.0
gemini,few-shot,Overall,Overall,0.3171,0.2802,,0.2819,834,,,,
gemini,lenient,1,E (1),0.0,0.0,1.0,0.0,272,0.0,0.0,272.0,596.0
gemini,lenient,2,D (2),0.3269,0.4513,0.6729,0.3792,226,102.0,210.0,124.0,432.0
gemini,lenient,3,C (3),0.5576,0.8857,0.5251,0.6843,350,310.0,246.0,40.0,272.0
gemini,lenient,4,B (4),0.0,0.0,1.0,0.0,20,0.0,0.0,20.0,848.0
gemini,lenient,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,868.0
gemini,lenient,Overall,Overall,0.1769,0.2674,,0.2127,868,,,,
gemini,zero-shot,1,E (1),0.6818,0.2308,0.9517,0.3448,260,60.0,28.0,200.0,552.0
gemini,zero-shot,2,D (2),0.3103,0.7364,0.4194,0.4367,220,162.0,360.0,58.0,260.0
gemini,zero-shot,3,C (3),0.7522,0.5,0.888,0.6007,340,170.0,56.0,170.0,444.0
gemini,zero-shot,4,B (4),0.0,0.0,0.9951,0.0,20,0.0,4.0,20.0,816.0
gemini,zero-shot,5,A (5),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,840.0
gemini,zero-shot,Overall,Overall,0.3489,0.2934,,0.2764,840,,,,
