model,strategy,true_grade,n_samples,mae,bias,over_grading_pct,under_grading_pct
chatgpt,few-shot,1,296,0.2595,0.2595,31.08,0.0
chatgpt,few-shot,2,240,0.3767,-0.05,15.0,25.0
chatgpt,few-shot,3,354,0.6542,-0.6362,0.0,41.81
chatgpt,few-shot,4,20,0.85,-0.85,0.0,100.0
chatgpt,lenient,1,306,1.068,1.068,100.0,0.0
chatgpt,lenient,2,246,0.7902,0.7545,78.05,0.0
chatgpt,lenient,3,364,0.2956,-0.1681,4.95,16.48
chatgpt,lenient,4,20,0.78,-0.78,0.0,100.0
chatgpt,zero-shot,1,296,0.2189,0.2176,28.38,0.0
chatgpt,zero-shot,2,240,0.3575,-0.0725,13.33,25.83
chatgpt,zero-shot,3,354,0.6621,-0.6429,0.0,40.68
chatgpt,zero-shot,4,20,0.88,-0.88,0.0,100.0
gemini,few-shot,1,258,0.4721,0.4612,45.74,0.0
gemini,few-shot,2,218,0.6422,0.1431,31.19,33.03
gemini,few-shot,3,338,0.6917,-0.5095,9.47,51.48
gemini,few-shot,4,20,1.54,-1.54,0.0,100.0
gemini,lenient,1,272,1.1846,1.1846,100.0,0.0
gemini,lenient,2,226,0.8558,0.7885,55.75,0.0
gemini,lenient,3,350,0.3594,-0.2829,0.57,11.43
gemini,lenient,4,20,1.0,-1.0,0.0,100.0
gemini,zero-shot,1,260,0.6369,0.6354,76.92,0.0
gemini,zero-shot,2,220,0.4845,0.3282,32.73,5.45
gemini,zero-shot,3,340,0.5624,-0.5059,1.18,42.94
gemini,zero-shot,4,20,1.41,-1.41,0.0,100.0
